Pais,Penetracion,Acceso,Poblacion,c100k
Argentina,"2,21E-07","82,9",45195774,"0,02212596248"
Bolivia,"5,14E-09","44,2",11673021,"0,0005140057574"
Brasil,"4,70E-09",79,212559417,"0,0004704566912"
Chile,"5,23E-09",82,19116201,"0,0005231164916"
Colombia,"2,16E-07","64,6",50882891,"0,02161826851"
Costa Rica,"9,82E-08","86,3",5094118,"0,009815241814"
Ecuador,"2,83E-08","59,2",17643054,"0,002833976476"
Guatemala,"5,58E-09","40,7",17915568,"0,0005581737626"
México,"3,88E-09","70,1",128932753,"0,0003877990568"
Panamá,"2,32E-10","63,6",4314767,"2,32E-05"
Paraguay,"7,01E-10","53,7",7132538,"7,01E-05"
Perú,"3,03E-08","64,8",33050325,"0,003025688855"
Uruguay,"1,77E-07",87,3473730,"0,01773309958"
